,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
309,ALX [NYSE],USA,REIT - Retail,1.40B,-1,17.19K,-30.20%,0.00%,4.1,51 to 200 Employees,1996,$100 to $500 million (USD),75,100
310,"ALXN [NASD, S&P 500]",USA,Biotechnology,40.13B,59.32,2.06M,85.70%,5.35%,3.8,1001 to 5000 Employees,1992,$2 to $5 billion (USD),57,71
317,"AMAT [NASD, S&P 500]",USA,Semiconductor Equipment & Materials,120.24B,12.51,10.23M,38.20%,12.19%,4,10000+ Employees,1967,$10+ billion (USD),81,91
318,AMBA [NASD],USA,Semiconductor Equipment & Materials,3.41B,9.85,440.02K,85.70%,34.04%,4,501 to 1000 Employees,2004,$100 to $500 million (USD),79,87
319,AMBC [NYSE],USA,Insurance - Specialty,720.20M,-1,305.49K,-101.50%,-115.60%,2.8,201 to 500 Employees,1991,$500 million to $1 billion (USD),42,72
320,AMH [NYSE],USA,REIT - Residential,12.41B,126.07,1.85M,85.70%,23.13%,3.9,1001 to 5000 Employees,2012,$500 million to $1 billion (USD),72,81
322,AMK [NYSE],USA,Asset Management,1.87B,-1,71.84K,21.10%,18.36%,3.6,501 to 1000 Employees,1996,$100 to $500 million (USD),64,72
323,AMKR [NASD],USA,Semiconductors,5.48B,-1,1.60M,177.30%,4.70%,3.4,10000+ Employees,1968,$2 to $5 billion (USD),47,79
325,AMN [NYSE],USA,Medical Care Facilities,4.44B,16.76,303.79K,39.20%,4.70%,3.8,1001 to 5000 Employees,1985,$1 to $2 billion (USD),76,87
326,AMNB [NASD],USA,Banks - Regional,357.73M,14.18,19.64K,37.90%,4.70%,4.1,201 to 500 Employees,1909,$50 to $100 million (USD),100,100
327,AMOT [NASD],USA,Electronic Components,500.44M,12.21,41.70K,85.70%,29.57%,3.5,1001 to 5000 Employees,1962,$100 to $500 million (USD),55,70
328,"AMP [NYSE, S&P 500]",USA,Asset Management,27.30B,-1,670.33K,85.70%,6.30%,3.8,10000+ Employees,1894,$10+ billion (USD),75,89
331,AMPH [NASD],USA,Drug Manufacturers - Specialty & Generic,950.21M,-1,176.86K,-97.10%,39.46%,2.8,1001 to 5000 Employees,1996,$100 to $500 million (USD),32,42
332,AMPY [NYSE],USA,Oil & Gas E&P,139.43M,403.4,597.64K,85.70%,195.00%,3.8,201 to 500 Employees,1996,$100 to $500 million (USD),50,100
333,AMR [NYSE],USA,Coking Coal,383.29M,14.52,215.84K,85.70%,144.70%,4,5001 to 10000 Employees,1996,$100 to $500 million (USD),100,100
334,AMRB [NASD],USA,Banks - Regional,103.38M,-1,35.97K,27.90%,6.41%,4,51 to 200 Employees,1983,$10 to $25 million (USD),55,100
335,AMRC [NYSE],USA,Engineering & Construction,3.01B,2.31,424.58K,18.30%,18.85%,4.1,1001 to 5000 Employees,2004,$500 million to $1 billion (USD),91,98
336,AMRK [NASD],USA,Capital Markets,555.44M,-1,120.92K,-254.30%,-63.83%,2.6,51 to 200 Employees,1996,$5 to $10 billion (USD),22,34
337,AMRN [NASD],Ireland,Biotechnology,1.93B,13.46,4.19M,28.70%,123.10%,4,201 to 500 Employees,1996,$50 to $100 million (USD),83,90
338,AMRS [NASD],USA,Specialty Chemicals,4.55B,12.28,3.77M,29.60%,90.60%,3.8,201 to 500 Employees,2003,$100 to $500 million (USD),77,57
339,AMRX [NYSE],USA,Drug Manufacturers - Specialty & Generic,1.58B,13.84,1.05M,95.40%,9.95%,3.6,5001 to 10000 Employees,2002,$1 to $2 billion (USD),71,89
341,AMSC [NASD],USA,Specialty Industrial Machinery,406.30M,-1,452.10K,-16.60%,78.70%,2.4,201 to 500 Employees,1987,$50 to $100 million (USD),32,25
342,AMSF [NASD],USA,Insurance - Specialty,1.14B,-1,76.69K,7.50%,4.70%,3.8,201 to 500 Employees,1986,$100 to $500 million (USD),58,76
343,AMST [NASD],USA,Software - Application,45.95M,-1,1.39M,-5.90%,56.60%,2.6,1 to 50 Employees,2017,$100 to $500 million (USD),34,0
344,AMSWA [NASD],USA,Software - Application,830.83M,12.08,153.90K,85.70%,46.00%,3.8,501 to 1000 Employees,1970,$100 to $500 million (USD),65,66
346,AMTB [NASD],USA,Banks - Regional,718.53M,-1,80.97K,485.37%,5.23%,3.8,501 to 1000 Employees,1987,$100 to $500 million (USD),81,86
347,AMTI [NASD],USA,Biotechnology,1.62B,-1,294.05K,24.59%,4.70%,5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
349,AMTX [NASD],USA,Oil & Gas Refining & Marketing,439.03M,63.67,1.87M,0.00%,34.40%,4.4,51 to 200 Employees,1996,$100 to $500 million (USD),68,100
351,AMWD [NASD],USA,"Furnishings, Fixtures & Appliances",1.38B,-1,94.19K,485.37%,18.86%,3.5,10000+ Employees,1980,$1 to $2 billion (USD),67,78
352,AMWL [NYSE],USA,Health Information Services,3.26B,23.76,4.10M,485.37%,22.40%,3.9,201 to 500 Employees,2007,$100 to $500 million (USD),75,96
354,AMYT [NASD],Ireland,Drug Manufacturers - Specialty & Generic,420.85M,-1,67.59K,107.00%,1215.40%,4.6,1 to 50 Employees,1996,$100 to $500 million (USD),92,100
357,AN [NYSE],USA,Auto & Truck Dealerships,6.93B,10.98,820.38K,485.37%,-4.49%,3.3,10000+ Employees,1996,$10+ billion (USD),52,66
358,ANAB [NASD],USA,Biotechnology,669.07M,-1,254.83K,79.70%,19.49%,3.8,51 to 200 Employees,2005,$10 to $25 million (USD),83,100
359,ANAT [NASD],USA,Insurance - Diversified,4.00B,6.87,55.32K,485.37%,0.00%,3,51 to 200 Employees,1970,$5 to $10 million (USD),54,54
361,ANDE [NASD],USA,Food Distribution,983.39M,-1,142.44K,485.37%,10.07%,3.5,1001 to 5000 Employees,1947,$2 to $5 billion (USD),66,83
363,"ANET [NYSE, S&P 500]",USA,Computer Hardware,28.09B,14.66,427.20K,-24.90%,11.62%,4.2,1001 to 5000 Employees,2004,$2 to $5 billion (USD),84,90
364,ANF [NYSE],USA,Apparel Retail,2.35B,-1,1.67M,485.37%,-9.75%,3.7,10000+ Employees,1892,$2 to $5 billion (USD),66,89
365,ANGI [NASD],USA,Internet Content & Information,6.83B,-1,1.52M,-118.80%,69.20%,3.2,1001 to 5000 Employees,1995,$1 to $2 billion (USD),46,39
367,ANGN [NASD],USA,Biotechnology,409.34M,-1,81.97K,-33.20%,14.20%,2.9,1 to 50 Employees,1996,$1 to $5 million (USD),33,100
368,ANGO [NASD],USA,Medical Instruments & Supplies,974.74M,14.92,240.60K,-44.40%,55.32%,3.2,1001 to 5000 Employees,1988,$100 to $500 million (USD),51,60
369,ANIK [NASD],USA,Biotechnology,593.85M,12.97,137.59K,485.37%,1011.11%,3.3,51 to 200 Employees,1992,$100 to $500 million (USD),34,58
370,ANIP [NASD],USA,Drug Manufacturers - Specialty & Generic,424.32M,-1,58.61K,485.37%,23.02%,3.9,51 to 200 Employees,1996,$100 to $500 million (USD),80,100
371,ANIX [NASD],USA,Diagnostics & Research,125.89M,7.97,404.10K,23.40%,19.50%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
374,"ANSS [NASD, S&P 500]",USA,Software - Application,28.82B,-1,435.66K,-5.00%,12.94%,4.2,1001 to 5000 Employees,1970,$1 to $2 billion (USD),86,97
375,ANTE [NASD],China,Advertising Agencies,41.37M,-1,233.83K,123.90%,0.00%,4.6,51 to 200 Employees,2015,$100 to $500 million (USD),100,100
376,"ANTM [NYSE, S&P 500]",USA,Healthcare Plans,90.53B,-1,1.10M,485.37%,12.34%,3.6,10000+ Employees,2004,$10+ billion (USD),67,74
378,ANY [NASD],Canada,Software - Application,35.63M,-1,5.17M,-38.20%,0.00%,2.6,201 to 500 Employees,1996,$50 to $100 million (USD),45,100
384,"AON [NYSE, S&P 500]",Ireland,Insurance Brokers,51.78B,-1,1.77M,32.50%,11.64%,3.8,10000+ Employees,1892,$10+ billion (USD),75,88
387,"AOS [NYSE, S&P 500]",USA,Specialty Industrial Machinery,10.42B,-1,1.11M,485.37%,11.71%,3.7,10000+ Employees,1874,$2 to $5 billion (USD),71,82
388,AOSL [NASD],USA,Semiconductors,726.36M,-1,252.59K,-452.40%,10.77%,2.5,1001 to 5000 Employees,1996,$100 to $500 million (USD),59,55
389,AOUT [NASD],USA,Leisure,447.08M,18.38,166.60K,910.35%,17.37%,3,201 to 500 Employees,2020,$500 million to $1 billion (USD),46,100
390,AP [NYSE],USA,Metal Fabrication,112.16M,25.32,72.08K,157.60%,0.00%,3,1001 to 5000 Employees,1929,$100 to $500 million (USD),36,30
391,"APA [NASD, S&P 500]",USA,Oil & Gas E&P,7.82B,-1,7.31M,37.24%,24.62%,3,1001 to 5000 Employees,2000,$1 to $2 billion (USD),56,54
392,APAM [NYSE],USA,Asset Management,3.85B,1147.22,609.04K,28.50%,7.87%,3.6,201 to 500 Employees,1995,$500 million to $1 billion (USD),62,92
393,"APD [NYSE, S&P 500]",USA,Chemicals,64.38B,11.15,892.32K,8.40%,18.90%,4.1,10000+ Employees,1940,$5 to $10 billion (USD),78,82
394,APDN [NASD],USA,Security & Protection Services,49.67M,12.04,589.28K,65.70%,67.40%,3.7,51 to 200 Employees,1996,$1 to $5 million (USD),100,100
395,APEI [NASD],USA,Education & Training Services,540.52M,9.2,152.17K,103.10%,63.88%,4.7,1001 to 5000 Employees,1991,$100 to $500 million (USD),100,100
396,APEN [NASD],USA,Medical Devices,238.83M,34.67,141.29K,22.00%,2.60%,3.5,1 to 50 Employees,1996,Less than $1 million (USD),64,69
397,APG [NYSE],USA,Engineering & Construction,4.23B,27.15,956.63K,-462.70%,14.82%,3.2,5001 to 10000 Employees,1926,$2 to $5 billion (USD),58,73
399,"APH [NYSE, S&P 500]",USA,Electronic Components,39.51B,-1,2.60M,4.30%,11.12%,3.5,10000+ Employees,1932,$5 to $10 billion (USD),60,74
400,API [NASD],China,Software - Application,4.70B,-1,1.20M,485.37%,35.30%,3.9,1001 to 5000 Employees,1978,$100 to $500 million (USD),79,77
401,APLE [NYSE],USA,REIT - Hotel & Motel,3.47B,-1,1.85M,485.37%,700.00%,3.8,1001 to 5000 Employees,1996,$100 to $500 million (USD),12,100
402,APLS [NASD],USA,Biotechnology,4.74B,-1,794.07K,6.30%,17.40%,4,201 to 500 Employees,2008,$100 to $500 million (USD),79,92
405,APO [NYSE],USA,Asset Management,24.71B,-1,2.35M,485.37%,18.54%,3.3,1001 to 5000 Employees,1990,$1 to $2 billion (USD),55,100
406,APOG [NASD],USA,Building Products & Equipment,916.30M,-1,186.81K,485.37%,23.56%,3.7,5001 to 10000 Employees,1949,$1 to $2 billion (USD),75,81
408,APP [NASD],USA,Software - Application,31.95B,20.06,1.39M,485.37%,123.49%,4.6,1001 to 5000 Employees,2012,$100 to $500 million (USD),91,93
409,APPF [NASD],USA,Software - Application,4.75B,-1,130.81K,334.80%,129.84%,4.5,1001 to 5000 Employees,2006,$100 to $500 million (USD),93,98
410,APPH [NASD],USA,Farm Products,1.54B,-1,1.69M,42.20%,32.70%,4.3,201 to 500 Employees,2017,$100 to $500 million (USD),75,100
411,APPN [NASD],USA,Software - Infrastructure,9.14B,-1,916.91K,37.40%,22.20%,4.1,1001 to 5000 Employees,1999,$100 to $500 million (USD),79,84
412,APPS [NASD],USA,Software - Application,5.81B,-1,3.13M,258.00%,47.00%,4.3,201 to 500 Employees,2011,$100 to $500 million (USD),86,93
413,APR [NASD],USA,Medical Instruments & Supplies,975.80M,-1,270.19K,195.30%,21.75%,3,5001 to 10000 Employees,1924,$2 to $5 billion (USD),45,58
415,APRN [NYSE],USA,Internet Retail,74.21M,30.6,722.59K,34.50%,23.70%,3.3,1001 to 5000 Employees,2012,$100 to $500 million (USD),56,75
417,APT [AMEX],Canada,Building Products & Equipment,102.76M,16.09,327.18K,-751.00%,-15.94%,2.7,51 to 200 Employees,1996,$50 to $100 million (USD),0,0
418,APTO [NASD],Canada,Biotechnology,458.29M,-1,4.40M,485.37%,37.20%,3,1 to 50 Employees,1986,$100 to $500 million (USD),41,62
419,APTS [NYSE],USA,REIT - Residential,502.80M,-1,377.05K,485.37%,13.10%,4,1 to 50 Employees,1996,$1 to $5 million (USD),74,100
420,"APTV [NYSE, S&P 500]",Ireland,Auto Parts,39.52B,89.2,1.42M,69.90%,36.57%,3.7,10000+ Employees,2017,$10+ billion (USD),76,88
421,APTX [NASD],USA,Biotechnology,193.78M,28.96,1.03M,40.10%,7.50%,3.5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
422,APVO [NASD],USA,Biotechnology,120.38M,-1,54.88K,38.20%,18.80%,4.3,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
425,APYX [NASD],USA,Medical Devices,353.99M,-1,77.24K,-21.40%,17.90%,2,201 to 500 Employees,1996,$100 to $500 million (USD),22,100
427,AQMS [NASD],USA,Waste Management,206.74M,-1,1.78M,-50.60%,86.40%,2.3,1 to 50 Employees,1996,$1 to $5 million (USD),20,0
429,AQST [NASD],USA,Biotechnology,143.26M,-1,636.01K,-36.60%,26.00%,2.4,51 to 200 Employees,1996,$50 to $100 million (USD),42,56
430,AQUA [NYSE],USA,Pollution & Treatment Controls,3.87B,60.44,986.26K,6.00%,21.72%,3.4,1001 to 5000 Employees,2014,$1 to $5 million (USD),61,65
431,AR [NYSE],USA,Oil & Gas E&P,3.91B,36.98,7.06M,330.21%,6.45%,3,501 to 1000 Employees,1996,$1 to $2 billion (USD),35,83
433,ARAY [NASD],USA,Medical Devices,394.68M,26.11,764.95K,122.50%,139.29%,4,501 to 1000 Employees,1990,$100 to $500 million (USD),73,60
435,ARC [NYSE],USA,Specialty Business Services,87.69M,-1,226.15K,115.10%,0.00%,3.4,1001 to 5000 Employees,1998,$100 to $500 million (USD),62,77
436,ARCB [NASD],USA,Trucking,1.34B,85.8,299.80K,78.10%,2.52%,4,10000+ Employees,1923,$2 to $5 billion (USD),89,94
437,ARCC [NASD],USA,Asset Management,8.31B,64.03,2.03M,-0.60%,-2.30%,2,501 to 1000 Employees,2004,$1 to $2 billion (USD),0,0
438,ARCE [NASD],Brazil,Education & Training Services,1.97B,-1,307.52K,264.50%,50.95%,4.3,1001 to 5000 Employees,2006,$100 to $500 million (USD),98,100
439,ARCH [NYSE],USA,Thermal Coal,842.96M,-1,327.51K,485.37%,101.23%,5,501 to 1000 Employees,1996,$100 to $500 million (USD),100,100
440,ARCO [NYSE],Uruguay,Restaurants,1.33B,-1,943.30K,485.37%,576.32%,3.8,10000+ Employees,2007,$1 to $5 million (USD),72,100
441,ARCT [NASD],USA,Biotechnology,911.99M,24.36,547.82K,485.37%,163.80%,3.8,51 to 200 Employees,2013,$100 to $500 million (USD),81,91
442,ARD [NYSE],Luxembourg,Packaging & Containers,5.55B,-1,100.09K,99.30%,24.50%,3.4,10000+ Employees,1996,$100 to $500 million (USD),55,64
444,ARDS [NASD],USA,Biotechnology,75.23M,-1,19.91K,30.60%,80.40%,5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
445,ARDX [NASD],USA,Biotechnology,704.05M,11.4,2.24M,28.50%,48.60%,3.6,51 to 200 Employees,1996,$10 to $25 million (USD),70,71
446,"ARE [NYSE, S&P 500]",USA,REIT - Office,26.99B,-1,810.39K,92.80%,44.78%,3.9,201 to 500 Employees,1994,$500 million to $1 billion (USD),72,100
447,AREC [NASD],USA,Thermal Coal,152.78M,-1,2.52M,88.10%,151.40%,4,51 to 200 Employees,1996,$1 to $5 million (USD),100,100
448,ARES [NYSE],USA,Asset Management,15.49B,-1,1.11M,485.37%,21.39%,3.9,1001 to 5000 Employees,1997,$10+ billion (USD),75,100
449,ARGO [NYSE],Bermuda,Insurance - Property & Casualty,1.81B,-1,135.94K,-311.40%,49.86%,4.2,1001 to 5000 Employees,1948,$1 to $2 billion (USD),83,89
451,ARGX [NASD],Netherlands,Biotechnology,16.32B,-1,178.91K,485.37%,-8.90%,4.3,51 to 200 Employees,2008,$100 to $500 million (USD),100,100
452,ARI [NYSE],USA,REIT - Mortgage,2.20B,-1,900.81K,485.37%,5.50%,4,1 to 50 Employees,1996,$50 to $100 million (USD),100,100
456,ARKO [NASD],USA,Grocery Stores,1.25B,-1,548.60K,130.30%,75.61%,4.4,501 to 1000 Employees,1948,$50 to $100 million (USD),100,100
458,ARKR [NASD],USA,Restaurants,68.77M,-1,19.65K,485.37%,0.00%,3.6,1001 to 5000 Employees,1983,$100 to $500 million (USD),59,91
462,ARLO [NYSE],USA,Security & Protection Services,564.76M,7.04,942.88K,485.37%,60.90%,4.3,201 to 500 Employees,2018,$100 to $500 million (USD),92,93
463,ARLP [NASD],USA,Thermal Coal,830.33M,-1,505.34K,485.37%,-25.64%,4,1001 to 5000 Employees,1996,$100 to $500 million (USD),68,94
464,ARMK [NYSE],USA,Restaurants,9.09B,-1,1.77M,485.37%,866.70%,3.3,10000+ Employees,1959,$10+ billion (USD),56,56
465,ARMP [AMEX],USA,Biotechnology,96.52M,-1,14.23K,45.70%,-6.90%,4,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
467,ARNA [NASD],USA,Biotechnology,4.04B,11.45,460.34K,485.37%,0.80%,3.8,51 to 200 Employees,1997,$25 to $50 million (USD),69,79
468,ARNC [NYSE],USA,Metal Fabrication,3.68B,-1,918.92K,-161.60%,36.53%,3.1,10000+ Employees,1888,$100 to $500 million (USD),44,58
469,AROC [NYSE],USA,Oil & Gas Equipment & Services,1.31B,19.63,894.97K,485.37%,59.60%,3.6,1001 to 5000 Employees,1996,$100 to $500 million (USD),62,87
470,AROW [NASD],USA,Banks - Regional,561.15M,12.2,27.96K,8.60%,19.49%,3.5,501 to 1000 Employees,1996,$100 to $500 million (USD),45,100
476,ARRY [NASD],USA,Solar,2.08B,2.89,4.34M,38.00%,86.14%,3,51 to 200 Employees,1992,$50 to $100 million (USD),35,66
478,ARTNA [NASD],USA,Utilities - Regulated Water,338.54M,-1,18.06K,12.20%,6.77%,3.2,201 to 500 Employees,1927,$50 to $100 million (USD),38,66
479,ARTW [NASD],USA,Farm & Heavy Construction Machinery,15.01M,-1,31.30K,225.40%,0.00%,3,51 to 200 Employees,1956,$10 to $25 million (USD),0,100
481,ARVN [NASD],USA,Biotechnology,3.93B,-1,410.61K,45.10%,17.37%,5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
482,ARW [NYSE],USA,Electronics & Computer Distribution,8.22B,-1,486.83K,406.20%,7.54%,3.2,10000+ Employees,1935,$10+ billion (USD),51,53
483,ARWR [NASD],USA,Biotechnology,8.41B,-1,732.48K,225.40%,51.60%,3.5,51 to 200 Employees,2004,$100 to $500 million (USD),46,100
487,ASAN [NYSE],USA,Software - Application,9.35B,-1,1.52M,225.40%,2.90%,4.8,501 to 1000 Employees,2008,$100 to $500 million (USD),96,100
489,ASB [NYSE],USA,Banks - Regional,3.09B,-1,1.37M,452.10%,13.57%,3.8,1001 to 5000 Employees,1870,$1 to $2 billion (USD),70,89
495,ASGN [NYSE],USA,Staffing & Employment Services,4.88B,-1,203.59K,14.80%,11.21%,3.3,10000+ Employees,1985,$2 to $5 billion (USD),61,49
496,ASH [NYSE],USA,Chemicals,5.23B,3.46,445.23K,76.10%,18.09%,3.8,10000+ Employees,1994,$10+ billion (USD),72,81
499,ASIX [NYSE],USA,Chemicals,769.15M,-1,203.90K,-14.40%,7.10%,2.9,1001 to 5000 Employees,2016,$1 to $2 billion (USD),53,62
500,ASLE [NASD],USA,Airports & Air Services,527.27M,1.56,69.38K,114.60%,72.00%,3.3,201 to 500 Employees,2008,$100 to $500 million (USD),60,58
501,ASLN [NASD],Singapore,Biotechnology,242.22M,12.83,742.38K,225.40%,-25.50%,3.7,1 to 50 Employees,1996,$100 to $500 million (USD),46,100
503,ASMB [NASD],USA,Biotechnology,166.01M,-1,949.67K,52.80%,-4.10%,3.7,51 to 200 Employees,2014,Less than $1 million (USD),67,80
504,ASML [NASD],Netherlands,Semiconductor Equipment & Materials,280.94B,-1,945.21K,37.90%,17.48%,4.1,10000+ Employees,1984,$10+ billion (USD),86,95
505,ASND [NASD],Denmark,Biotechnology,7.47B,9.59,227.47K,-76.60%,7.30%,3.2,51 to 200 Employees,1996,$100 to $500 million (USD),41,44
506,ASO [NASD],USA,Specialty Retail,3.40B,-1,2.74M,178.30%,-6.63%,3.3,10000+ Employees,1938,$2 to $5 billion (USD),58,65
509,ASPN [NYSE],USA,Building Products & Equipment,672.44M,38.13,220.45K,225.40%,33.70%,3.9,201 to 500 Employees,2001,$100 to $500 million (USD),76,100
510,ASPS [NASD],Luxembourg,Mortgage Finance,112.83M,-1,156.15K,76.60%,122.40%,3.1,5001 to 10000 Employees,2009,$500 million to $1 billion (USD),40,49
513,ASRT [NASD],USA,Drug Manufacturers - Specialty & Generic,73.09M,160.53,1.79M,91.30%,13.57%,3.6,51 to 200 Employees,1996,$100 to $500 million (USD),57,100
514,ASRV [NASD],USA,Banks - Regional,68.10M,103.82,25.99K,-22.00%,0.00%,2.7,201 to 500 Employees,1982,$50 to $100 million (USD),38,0
515,ASTC [NASD],USA,Aerospace & Defense,59.18M,19.49,3.85M,-14.10%,0.00%,2.5,51 to 200 Employees,1996,$1 to $5 million (USD),34,32
516,ASTE [NASD],USA,Farm & Heavy Construction Machinery,1.33B,-1,143.66K,66.20%,45.56%,3.3,1001 to 5000 Employees,1972,$1 to $2 billion (USD),58,100
518,ASUR [NASD],USA,Software - Application,155.86M,12.88,109.14K,-62.40%,-128.09%,2.7,201 to 500 Employees,1985,$50 to $100 million (USD),38,38
519,ASX [NYSE],Taiwan,Semiconductors,17.38B,-1,2.44M,62.80%,9.16%,3.8,1 to 50 Employees,1977,$1 to $5 million (USD),73,100
521,ASYS [NASD],USA,Semiconductor Equipment & Materials,129.42M,-1,191.31K,225.40%,645.45%,4.7,201 to 500 Employees,1981,$100 to $500 million (USD),100,100
524,ATC [NYSE],United Kingdom,Electronic Components,4.54B,-1,472.24K,225.40%,111.70%,3.5,1001 to 5000 Employees,1993,$1 to $2 billion (USD),64,67
526,ATCX [NASD],USA,Engineering & Construction,364.04M,51.45,99.07K,106.10%,201.96%,3.6,1001 to 5000 Employees,1996,$100 to $500 million (USD),81,100
527,ATEC [NASD],USA,Medical Devices,1.43B,-1,558.25K,-8.20%,38.20%,2.8,501 to 1000 Employees,1990,$100 to $500 million (USD),44,75
528,ATEN [NYSE],USA,Software - Infrastructure,819.80M,-1,624.92K,195.10%,18.32%,3.7,501 to 1000 Employees,2004,$100 to $500 million (USD),66,73
529,ATER [NASD],USA,Consumer Electronics,458.28M,35.59,962.71K,225.40%,0.00%,3.7,201 to 500 Employees,2014,$100 to $500 million (USD),44,0
530,ATEX [NASD],USA,Telecom Services,1.05B,-1,123.59K,20.40%,26.40%,4,51 to 200 Employees,2004,$100 to $500 million (USD),81,100
532,ATGE [NYSE],USA,Education & Training Services,1.79B,-1,411.73K,151.50%,11.00%,3.9,10000+ Employees,1931,$100 to $500 million (USD),71,90
533,ATH [NYSE],Bermuda,Insurance - Diversified,11.85B,-1,1.54M,41.20%,17.37%,3.5,1001 to 5000 Employees,2009,$5 to $10 billion (USD),69,67
536,ATHM [NYSE],China,Internet Content & Information,16.34B,4.17,721.06K,6.10%,13.67%,3.7,201 to 500 Employees,2005,$100 to $500 million (USD),71,100
537,ATHX [NASD],USA,Biotechnology,346.56M,6.96,2.12M,225.40%,77.50%,4,51 to 200 Employees,1996,$10 to $25 million (USD),65,100
538,ATI [NYSE],USA,Metal Fabrication,2.66B,-1,1.21M,-773.50%,361.50%,3.1,5001 to 10000 Employees,1996,$2 to $5 billion (USD),46,66
540,ATKR [NYSE],USA,Specialty Industrial Machinery,3.20B,11.38,472.22K,9.50%,-45.69%,4,1001 to 5000 Employees,2011,$1 to $2 billion (USD),83,94
541,ATLC [NASD],USA,Credit Services,601.09M,11.88,47.97K,138.40%,0.00%,3.5,201 to 500 Employees,1996,$50 to $100 million (USD),82,100
542,ATLO [NASD],USA,Banks - Regional,225.73M,6.56,24.93K,10.70%,0.00%,5,201 to 500 Employees,1975,$50 to $100 million (USD),100,100
546,ATNI [NASD],USA,Telecom Services,733.63M,-1,41.99K,42.50%,459.30%,3.5,1001 to 5000 Employees,1987,$100 to $500 million (USD),62,80
548,ATNX [NASD],USA,Drug Manufacturers - Specialty & Generic,442.97M,-1,5.66M,225.40%,14.70%,3.3,51 to 200 Employees,1996,$100 to $500 million (USD),12,100
549,"ATO [NYSE, S&P 500]",USA,Utilities - Regulated Gas,12.72B,-1,799.47K,12.40%,6.69%,4.3,1001 to 5000 Employees,1906,$2 to $5 billion (USD),86,96
552,ATR [NYSE],USA,Packaging & Containers,9.15B,-1,213.97K,225.40%,9.18%,3.8,10000+ Employees,1993,$2 to $5 billion (USD),81,95
553,ATRA [NASD],USA,Biotechnology,1.26B,-1,933.23K,-26.90%,5.00%,2.9,201 to 500 Employees,2012,$100 to $500 million (USD),35,74
554,ATRC [NASD],USA,Medical Instruments & Supplies,3.37B,38.74,376.75K,225.40%,27.20%,4.5,501 to 1000 Employees,2000,$100 to $500 million (USD),96,100
555,ATRI [NASD],USA,Medical Instruments & Supplies,1.10B,30.66,5.95K,225.40%,0.00%,4,501 to 1000 Employees,1982,$100 to $500 million (USD),100,100
556,ATRO [NASD],USA,Aerospace & Defense,500.83M,-1,178.94K,225.40%,228.90%,3.7,1001 to 5000 Employees,1968,$500 million to $1 billion (USD),75,83
557,ATRS [NASD],USA,Medical Instruments & Supplies,692.44M,-1,830.69K,-83.30%,130.28%,2.9,51 to 200 Employees,1996,$50 to $100 million (USD),39,13
558,ATSG [NASD],USA,Integrated Freight & Logistics,1.68B,-1,461.08K,225.40%,10.73%,3.5,1001 to 5000 Employees,1996,$1 to $2 billion (USD),63,100
